2025-08-25 18:35:52,745 - snowflake.core._options - INFO - checked whether snowflake-snowpark-python is available: True
2025-08-25 18:35:53,735 - e2e-ml-workflow - INFO - ML Pipeline Orchestrator initialized
2025-08-25 18:35:53,735 - e2e-ml-workflow - INFO - ============================================================
2025-08-25 18:35:53,735 - e2e-ml-workflow - INFO - STARTING PIPELINE INITIALIZATION
2025-08-25 18:35:53,735 - e2e-ml-workflow - INFO - ============================================================
2025-08-25 18:35:53,735 - e2e-ml-workflow - INFO - Initializing Snowflake session...
2025-08-25 18:35:53,743 - snowflake.connector.connection - INFO - Snowflake Connector for Python Version: 3.16.0, Python Version: 3.11.10, Platform: macOS-15.6-arm64-arm-64bit
2025-08-25 18:35:53,743 - snowflake.connector.connection - INFO - Connecting to GLOBAL Snowflake domain
2025-08-25 18:36:01,714 - snowflake.snowpark.session - INFO - Snowpark Session information: 
"version" : 1.33.0,
"python.version" : 3.11.10,
"python.connector.version" : 3.16.0,
"python.connector.session.id" : 29911144528344298,
"os.name" : Darwin

2025-08-25 18:36:01,715 - e2e-ml-workflow - INFO - Snowflake session established
2025-08-25 18:36:01,715 - e2e-ml-workflow - INFO - Working in Database: "CC_ML_JOBS", Schema: "PUBLIC"
2025-08-25 18:36:01,715 - e2e-ml-workflow - INFO - Pipeline components initialized
2025-08-25 18:36:01,715 - e2e-ml-workflow - INFO - initialize_session completed in 8.0s
2025-08-25 18:36:01,715 - e2e-ml-workflow - INFO - Setting up ML infrastructure...
2025-08-25 18:36:07,614 - snowflake.ml.feature_store.feature_store - INFO - Successfully connected to feature store: CC_ML_JOBS.PUBLIC_FEATURE_STORE.
2025-08-25 18:36:07,614 - e2e-ml-workflow - INFO - Model Registry created: PUBLIC_MODEL_REGISTRY
2025-08-25 18:36:07,614 - e2e-ml-workflow - INFO - Feature Store created: PUBLIC_FEATURE_STORE
2025-08-25 18:36:07,614 - e2e-ml-workflow - INFO - setup_ml_infrastructure completed in 5.9s
2025-08-25 18:36:07,614 - e2e-ml-workflow - INFO - Initializing data environment...
2025-08-25 18:36:08,821 - e2e-ml-workflow - INFO - Environment configured - Schema: "PUBLIC"
2025-08-25 18:36:08,821 - e2e-ml-workflow - INFO - Working in Database: "CC_ML_JOBS", Schema: "PUBLIC"
2025-08-25 18:36:08,821 - e2e-ml-workflow - INFO - Creating core data tables...
2025-08-25 18:36:10,949 - e2e-ml-workflow - INFO - Core data tables created successfully
2025-08-25 18:36:12,843 - e2e-ml-workflow - INFO - Staging area and tracking tables created
2025-08-25 18:36:12,843 - e2e-ml-workflow - INFO - Data environment initialization completed
2025-08-25 18:36:12,843 - e2e-ml-workflow - INFO - initialize_environment completed in 5.2s
2025-08-25 18:36:12,843 - e2e-ml-workflow - INFO - Discovering and registering files...
2025-08-25 18:36:25,872 - e2e-ml-workflow - INFO - Found 8 sales files and 13 feedback files
2025-08-25 18:36:25,872 - e2e-ml-workflow - INFO - discover_and_register_files completed in 13.0s
2025-08-25 18:36:25,873 - e2e-ml-workflow - INFO - Loading static customer data...
2025-08-25 18:36:26,867 - e2e-ml-workflow - INFO - Customer data loaded successfully
2025-08-25 18:36:26,867 - e2e-ml-workflow - INFO - load_static_data completed in 1.0s
2025-08-25 18:36:26,867 - e2e-ml-workflow - INFO - ✅ Pipeline initialization completed successfully
2025-08-25 18:36:26,867 - e2e-ml-workflow - INFO -    Found 8 sales files and 13 feedback files
2025-08-25 18:36:26,867 - e2e-ml-workflow - INFO - run_initialization completed in 33.1s
2025-08-25 18:36:26,867 - e2e-ml-workflow - INFO - 🎉 Pipeline execution completed successfully!
2025-08-25 18:36:26,869 - snowflake.snowpark.session - INFO - Closing session: 29911144528344298
2025-08-25 18:36:26,869 - snowflake.snowpark.session - INFO - Canceling all running queries
2025-08-25 18:36:27,701 - snowflake.snowpark.session - INFO - Closed session: 29911144528344298
2025-08-25 18:37:48,716 - snowflake.core._options - INFO - checked whether snowflake-snowpark-python is available: True
2025-08-25 18:37:49,659 - e2e-ml-workflow - INFO - ML Pipeline Orchestrator initialized
2025-08-25 18:37:49,659 - e2e-ml-workflow - INFO - ============================================================
2025-08-25 18:37:49,659 - e2e-ml-workflow - INFO - STARTING PIPELINE INITIALIZATION
2025-08-25 18:37:49,659 - e2e-ml-workflow - INFO - ============================================================
2025-08-25 18:37:49,659 - e2e-ml-workflow - INFO - Initializing Snowflake session...
